REFERÊNCIA;NOMEPRODUTO;CATEGORIA;ESTOQUE;PRECOATACADO;PRECODROPSHIPPING;STATUSPROMOCAO;MARCA;DESCRICAO;DIMENSAOCAIXACM;PESOGRAMAS;DATACADASTRO;REPOSICAOESTOQUE;URLPRODUTO;FOTOS
67014B;Sapato Scarpin;Sapato Scarpin;34,3|35,9|36,9|37,10|38,9|39,5;99.90;109.89;0;Torricella;Material: Napa Croco Antique Rose<br />Palmilha: 8 mm de Espessura, Espuma em EVA, Revestida em Verniz Rose e Taloneira Napa Bege<br />Enfeite: Strass Branco e Spike Cravo Prata<br />Salto: 9 cm de Altura Revestido em Verniz Rose<br />Solado de TR coletado na cor Bege.;28 x 20 x 9.5;600;08/10/2021;1;https://www.revendadecalcados.com.br/produto-7198.html;https://www.revendadecalcados.com.br/fma600/b5acc7d8e630c542b498d5c13128520e.jpg,https://www.revendadecalcados.com.br/fma600/1cbb21e6aec736810025e3f0283125f0.jpg,https://www.revendadecalcados.com.br/fma600/eccf4158608c2f61c86d50488ed22145.jpg,https://www.revendadecalcados.com.br/fma600/78191a5ff081dad64cab30e1939207c4.jpg,https://www.revendadecalcados.com.br/fma600/903fde9c86abca2009ad8bfecd09f2f3.jpg
67014A;Sapato Scarpin;Sapato Scarpin;34,5|35,10|36,10|37,10|38,10|39,4;99.90;109.89;0;Torricella;Material: Napa Croco Preto<br />Palmilha: 8 mm de Espessura, Espuma em EVA, Revestida em Verniz Preto e Taloneira Napa Preto<br />Enfeite: Strass Branco e Spike Cravo Prata<br />Salto: 9 cm de Altura Revestido em Verniz Preto<br />Solado de TR coletado na cor Preto.;28 x 20 x 9.5;600;08/10/2021;1;https://www.revendadecalcados.com.br/produto-7197.html;https://www.revendadecalcados.com.br/fma600/493a1ed4821f5d03b6b8271ded984276.jpg,https://www.revendadecalcados.com.br/fma600/6b6f80d3a4bee812b2c78bfb3b20ae77.jpg,https://www.revendadecalcados.com.br/fma600/409422c1171937803233e88e73a1fca3.jpg,https://www.revendadecalcados.com.br/fma600/ef793814d40d525d2a888bbd052dcf85.jpg,https://www.revendadecalcados.com.br/fma600/0267a6da4a642c564d64003362d4fef8.jpg
35.020A;Sand�lia Feminina;Sand�lias;34,2|35,3|36,5|37,6|38,4|39,2;89.90;98.89;0;Torricella;Material: Napa Lemon, Napa Pink e Napa Azul<br />Enfeite: Apliques de pir�mides em ABS na cor Ouro Light e Fivela de ajuste na cor Ouro Light<br />Palmilha: 8 mm de Espessura, Espuma em EVA, Revestida em Napa Lemon e Taloneira Napa Bege<br />Salto: 7,5 cm de Altura Revestido em Napa Lemon<br />Solado de Micro cor Bege.;28 x 20 x 9.5;600;25/01/2022;1;https://www.revendadecalcados.com.br/produto-7489.html;https://www.revendadecalcados.com.br/fma600/721baaed9da217890cb45faef2c4aa6c.jpg,https://www.revendadecalcados.com.br/fma600/6be77fa7e2aa52d59d52198814216989.jpg,https://www.revendadecalcados.com.br/fma600/393c4a8952ae4a01ffc13c6c827615b1.jpg,https://www.revendadecalcados.com.br/fma600/da7b43ed1f2c5df9a7a763fd8549b7ac.jpg,https://www.revendadecalcados.com.br/fma600/7fed320aa0c5b4b7d446ff35820a547d.jpg
99.033B;Sand�lia Anabela Feminina;Anabela;34,3|35,5|36,10|37,9|38,8|39,1;89.90;98.89;0;Torricella;Material: Napa Rose<br />Enfeite: P�rolas em ABS na cor Branco<br />Palmilha: 4 mm de Espessura, Espuma em EVA, Revestida em Napa Rose e Taloneira Napa Bege<br />Plataforma: Traseiro / Salto com 12 cm de Altura, Frente 3 cm de altura Revestido em Tecido R�fia Trama na Cor Bege<br />Solado de TR na cor Bege.;29 x 22 x 10;700;10/12/2021;1;https://www.revendadecalcados.com.br/produto-7425.html;https://www.revendadecalcados.com.br/fma600/52fe28131b6292d6adc9ce2ebbe04731.jpg,https://www.revendadecalcados.com.br/fma600/c6165477bc8bb69c1a51458dbed8819e.jpg,https://www.revendadecalcados.com.br/fma600/f9fcaba5f296ffca10736c01859827b2.jpg,https://www.revendadecalcados.com.br/fma600/ceef053bab36d638de4acab4bff8d75f.jpg,https://www.revendadecalcados.com.br/fma600/0ced12ef85f3af40686e09d4b4c8de23.jpg
99.033A;Sand�lia Anabela Feminina;Anabela;34,2|35,9|36,10|37,10|38,9|39,3;89.90;98.89;0;Torricella;Material: Napa Preto<br />Enfeite: P�rolas em ABS na cor Branco<br />Palmilha: 4 mm de Espessura, Espuma em EVA, Revestida em Napa Preto e Taloneira Napa Bege<br />Plataforma: Traseiro / Salto com 12 cm de Altura, Frente 3 cm de altura Revestido em Tecido R�fia Trama na Cor Bege<br />Solado de TR na cor Preto.;29 x 22 x 10;700;10/12/2021;1;https://www.revendadecalcados.com.br/produto-7424.html;https://www.revendadecalcados.com.br/fma600/fbb99e7347b74d18858f37898126196b.jpg,https://www.revendadecalcados.com.br/fma600/07edb896fe59cd7ca42abbd311e6d955.jpg,https://www.revendadecalcados.com.br/fma600/4bbfa292b6e22c0ba585c6cfe18ba027.jpg,https://www.revendadecalcados.com.br/fma600/a2298bd17f468d64e8f9633bd03764de.jpg,https://www.revendadecalcados.com.br/fma600/c9f62fd1b76d98f93f6b1244d3589858.jpg
99.031B;Sand�lia Anabela Feminina;Anabela;34,0|35,2|36,8|37,6|38,2|39,0;89.90;98.89;0;Torricella;Material: Napa Branco<br />Enfeite: Fivela grande de metal com passante na cor Dourado, Ilh�s na cor Dourado e Tran�as em Napa Branco<br />Palmilha: 4 mm de Espessura, Espuma em EVA, Revestida em Napa Branco e Taloneira Napa Bege<br />Plataforma: Traseiro / Salto com 12 cm de Altura, Frente 3 cm de altura Revestido em Corda na Cor Bege<br />Solado de TR na cor Bege.;29 x 22 x 10;700;10/12/2021;1;https://www.revendadecalcados.com.br/produto-7423.html;https://www.revendadecalcados.com.br/fma600/a5e5122224c9af5dd346ca56824a3028.jpg,https://www.revendadecalcados.com.br/fma600/e91b76b6f95211d5e3283ae0e0327d42.jpg,https://www.revendadecalcados.com.br/fma600/abb0382e160947b9e2c2c512ab10a513.jpg,https://www.revendadecalcados.com.br/fma600/6d6544b403cdbd04217e6ddaf8593899.jpg,https://www.revendadecalcados.com.br/fma600/4110195fffc98451ab845d766529660b.jpg
99.031A;Sand�lia Anabela Feminina;Anabela;34,2|35,4|36,7|37,4|38,8|39,5;89.90;98.89;0;Torricella;Material: Napa Caramelo / Tecido Jeans Azul<br />Enfeite: Fivela grande de metal com passante na cor Dourado, Ilh�s na cor Dourado e Tran�as em Napa Caramelo<br />Palmilha: 4 mm de Espessura, Espuma em EVA, Revestida em Napa Caramelo e Taloneira Napa Bege<br />Plataforma: Traseiro / Salto com 12 cm de Altura, Frente 3 cm de altura Revestido em Corda na Cor Bege<br />Solado de TR na cor Bege.;29 x 22 x 10;700;10/12/2021;1;https://www.revendadecalcados.com.br/produto-7422.html;https://www.revendadecalcados.com.br/fma600/98fae897c87e8795f5e88e3434e30565.jpg,https://www.revendadecalcados.com.br/fma600/2caafde6f55ffba1c0c5212cfc99da72.jpg,https://www.revendadecalcados.com.br/fma600/cef8794b898ca7863bc02db484b61cd5.jpg,https://www.revendadecalcados.com.br/fma600/0bcfc6e934fb98295e3fb2a5a269b401.jpg,https://www.revendadecalcados.com.br/fma600/7c8a6e28f26589f975f0bda2ff3221bd.jpg
99.029A;Sand�lia Anabela Feminina;Anabela;34,0|35,0|36,0|37,0|38,0|39,0;89.90;98.89;0;Torricella;Material: Napa Pink / Napa Verde / Napa Azul / Napa Branco<br />Enfeite: Tiras com La�os tipo N�s<br />Palmilha: 4 mm de Espessura, Espuma em EVA, Revestida em Napa Branco e Taloneira Napa Bege<br />Plataforma: Traseiro / Salto com 12 cm de Altura, Frente 3 cm de altura Revestido em Tecido R�fia Trama na Cor Bege<br />Solado de TR na cor Bege.;29 x 22 x 10;700;10/12/2021;1;https://www.revendadecalcados.com.br/produto-7421.html;https://www.revendadecalcados.com.br/fma600/30a28a5aea33b00512f6030acbc3d700.jpg,https://www.revendadecalcados.com.br/fma600/883003a46e57bdb0f19e7836fe2dfd86.jpg,https://www.revendadecalcados.com.br/fma600/fb5b05ed96f7181228def05ba6053287.jpg,https://www.revendadecalcados.com.br/fma600/c0354724af4b5f9112942e619c2f2862.jpg,https://www.revendadecalcados.com.br/fma600/4e9c2f5f75d7a935d461e83037cd7b95.jpg
65054D;Sapato Scarpin;Sapato Scarpin;34,4|35,10|36,10|37,10|38,10|39,6;89.90;98.89;0;Torricella;Material: Napa Rosa / Napa Verde / Napa Azul<br />Palmilha: 8 mm de Espessura, Espuma em EVA, Revestida em Napa Azul e Taloneira Napa Bege<br />Enfeite: Pir�mide Dourado<br />Salto: 9 cm de Altura Revestido em Napa Azul<br />Solado de TR coletado na cor Bege.;28 x 20 x 9.5;600;08/10/2021;1;https://www.revendadecalcados.com.br/produto-7202.html;https://www.revendadecalcados.com.br/fma600/f0eb8996810660980c80702a50ad18a8.jpg,https://www.revendadecalcados.com.br/fma600/7d3d6928c62d734eb31e9f51aaee3f69.jpg,https://www.revendadecalcados.com.br/fma600/3c02efc4090c800d74c055ec91153c69.jpg,https://www.revendadecalcados.com.br/fma600/5bc938d5dfee35c94b6e53ddeb0c72c6.jpg,https://www.revendadecalcados.com.br/fma600/94535afe61176ba694814d6865b8d485.jpg
65054C;Sapato Scarpin;Sapato Scarpin;34,2|35,6|36,10|37,10|38,8|39,2;89.90;98.89;0;Torricella;Material: Verniz Off White<br />Palmilha: 8 mm de Espessura, Espuma em EVA, Revestida em Verniz Off White e Taloneira Napa Bege<br />Enfeite: Pir�mide Branco<br />Salto: 9 cm de Altura Revestido em Verniz Off White<br />Solado de TR coletado na cor Bege.;28 x 20 x 9.5;600;08/10/2021;1;https://www.revendadecalcados.com.br/produto-7201.html;https://www.revendadecalcados.com.br/fma600/e5fb5c07dbf9b67dec613662442a0094.jpg,https://www.revendadecalcados.com.br/fma600/7073c64cf43022870ba2fa85750170d0.jpg,https://www.revendadecalcados.com.br/fma600/9de32054c07282f4d343dc3598abe15d.jpg,https://www.revendadecalcados.com.br/fma600/ef6c24992926286482f55c2e3752840f.jpg,https://www.revendadecalcados.com.br/fma600/dccb2db310e3a3a2c6f738cfd9d1b628.jpg
